year,transmission,price,mileage,E ,G ,J ,XE,XLE
2021,Automatic,598000,5000,0,0,0,0,1
2021,Automatic,579000,15000,0,0,0,0,1
2021,Automatic,680000,15000,0,0,0,0,1
2021,Automatic,628000,5000,0,0,0,0,1
2020,Automatic,698000,15000,0,1,0,0,0
2020,Manual,548000,15000,0,0,0,0,1
2016,Manual,350000,5000,0,1,0,0,0
2016,Manual,320000,195000,0,0,1,0,0
2022,Automatic,658000,5000,0,0,0,0,1
2022,Manual,658000,5000,0,0,0,0,1
2022,Automatic,655000,15000,0,0,0,0,1
2020,Automatic,688000,15000,0,1,0,0,0
2017,Automatic,530000,25000,0,1,0,0,0
2022,Automatic,700000,15000,0,0,0,0,1
2019,Automatic,638000,25000,0,1,0,0,0
2016,Manual,349999,85000,0,0,1,0,0
2017,Automatic,447000,25000,1,0,0,0,0
2018,Automatic,498000,55000,1,0,0,0,0
2018,Automatic,528000,25000,1,0,0,0,0
2019,Automatic,638000,5000,1,0,0,0,0
2022,Automatic,648000,5000,0,0,0,0,1
2022,Automatic,658000,5000,0,0,0,0,1
2019,Manual,418000,45000,1,0,0,0,0
2022,Automatic,648000,5000,0,0,0,0,1
2019,Automatic,638000,15000,1,0,0,0,0
2013,Manual,319000,65000,0,1,0,0,0
2013,Manual,359000,45000,0,1,0,0,0
2017,Manual,385000,75000,1,0,0,0,0
2020,Automatic,600000,15000,1,0,0,0,0
2022,Manual,658000,5000,0,0,0,0,1
2021,Automatic,598000,15000,0,0,0,1,0
2021,Automatic,618000,15000,0,0,0,0,1
2022,Automatic,648000,5000,0,0,0,0,1
2021,Automatic,568000,5000,0,0,0,1,0
2007,Manual,258000,75000,1,0,0,0,0
2016,Automatic,440000,15000,1,0,0,0,0
2015,Automatic,425000,95000,0,1,0,0,0
2019,Manual,490000,15000,0,1,0,0,0
2014,Automatic,400000,95000,0,1,0,0,0
2016,Manual,385000,55000,1,0,0,0,0
2013,Manual,330000,85000,1,0,0,0,0
2013,Manual,318000,85000,0,0,1,0,0
2017,Automatic,495000,5000,1,0,0,0,0
2019,Manual,495000,5000,1,0,0,0,0
2016,Manual,349000,55000,0,0,1,0,0
2013,Manual,318000,55000,0,1,0,0,0
2014,Automatic,380000,55000,1,0,0,0,0
2012,Manual,360000,110000,1,0,0,0,0
2008,Manual,268000,145000,1,0,0,0,0
2018,Automatic,465000,35000,1,0,0,0,0
2017,Manual,380000,75000,1,0,0,0,0
2018,Automatic,500000,35000,1,0,0,0,0
2019,Manual,475000,15000,1,0,0,0,0
2016,Manual,398000,45000,1,0,0,0,0
2010,Automatic,275000,110000,1,0,0,0,0
2020,Manual,538000,25000,0,0,0,0,1
2019,Manual,134000,15000,0,0,1,0,0
2016,Automatic,420000,65000,1,0,0,0,0
2013,Manual,280000,195000,0,1,0,0,0
2019,Automatic,550000,35000,1,0,0,0,0
2017,Manual,368000,75000,0,0,1,0,0
2018,Automatic,478000,35000,1,0,0,0,0
2018,Automatic,498000,25000,1,0,0,0,0
2013,Automatic,317500,65000,0,1,0,0,0
2017,Manual,428000,55000,1,0,0,0,0
2017,Manual,399000,55000,1,0,0,0,0
2019,Manual,140000,15000,1,0,0,0,0
2015,Automatic,458000,75000,1,0,0,0,0
2012,Manual,360000,35000,0,0,1,0,0
2007,Automatic,238000,5000,0,1,0,0,0
2022,Manual,110000,5000,0,0,0,0,1
2018,Manual,400000,35000,1,0,0,0,0
2016,Manual,342000,25000,1,0,0,0,0
2013,Manual,338000,125000,0,1,0,0,0
2021,Manual,490000,5000,0,0,1,0,0
2014,Automatic,389999,45000,1,0,0,0,0
2017,Manual,428000,55000,1,0,0,0,0
2013,Manual,358000,85000,1,0,0,0,0
2008,Manual,298000,85000,1,0,0,0,0
2021,Automatic,590000,15000,0,0,0,0,1
2017,Automatic,428000,25000,1,0,0,0,0
2019,Manual,468000,15000,0,0,1,0,0
2015,Automatic,458000,75000,1,0,0,0,0
2022,Automatic,569000,15000,0,0,0,1,0
2018,Manual,360000,65000,0,0,1,0,0
2019,Manual,468000,15000,0,0,1,0,0
2022,Automatic,658000,5000,0,0,0,0,1
2019,Automatic,610000,15000,1,0,0,0,0
2022,Automatic,538000,15000,0,0,0,0,1
2021,Automatic,628000,15000,0,0,0,0,1
2021,Automatic,668000,25000,0,0,0,0,1
2022,Automatic,639000,5000,0,0,0,0,1
2018,Automatic,518000,45000,1,0,0,0,0
2022,Automatic,658000,5000,0,0,0,0,1
2022,Automatic,658000,5000,0,0,0,0,1
2022,Automatic,658000,5000,0,0,0,0,1
2019,Automatic,648000,15000,1,0,0,0,0
2019,Automatic,525000,25000,1,0,0,0,0
2021,Manual,635000,15000,0,0,0,0,1
2018,Manual,488000,25000,1,0,0,0,0
2022,Automatic,638000,5000,0,0,0,0,1
2021,Automatic,688000,15000,0,0,0,0,1
2021,Automatic,648000,15000,0,0,0,0,1
2022,Manual,633000,5000,0,0,0,0,1
2021,Automatic,608000,5000,0,0,0,0,1
2020,Automatic,548000,15000,0,0,0,0,1
2020,Automatic,535000,35000,0,0,0,0,1
2022,Automatic,668000,5000,0,0,0,0,1
2015,Manual,360000,65000,0,0,1,0,0
2015,Automatic,458000,75000,1,0,0,0,0
2018,Automatic,570000,15000,1,0,0,0,0
2013,Manual,350000,110000,0,1,0,0,0
2021,Automatic,625000,15000,0,0,0,0,1
2015,Manual,280000,65000,0,0,1,0,0
2008,Manual,298000,85000,1,0,0,0,0
2015,Automatic,458000,75000,1,0,0,0,0
2011,Automatic,318000,85000,0,0,1,0,0
2017,Automatic,530000,35000,0,1,0,0,0
2020,Manual,528000,5000,0,0,0,0,1
2019,Manual,367000,5000,1,0,0,0,0
2020,Manual,356000,5000,1,0,0,0,0
2017,Automatic,500000,75000,0,1,0,0,0
2022,Automatic,648000,5000,0,0,0,0,1
2014,Manual,309000,95000,1,0,0,0,0
2017,Automatic,429000,45000,1,0,0,0,0
2016,Manual,300000,55000,0,0,1,0,0
2018,Manual,350000,55000,1,0,0,0,0
2021,Automatic,648000,25000,0,0,0,0,1
2019,Manual,385000,65000,0,0,1,0,0
2012,Manual,295000,65000,1,0,0,0,0
2021,Automatic,520000,5000,0,0,0,1,0
2015,Manual,280000,65000,0,0,1,0,0
2015,Automatic,400000,95000,1,0,0,0,0
2021,Automatic,610000,25000,0,0,0,0,1
2016,Automatic,380000,35000,1,0,0,0,0
2022,Automatic,658000,5000,0,0,0,0,1
2022,Automatic,658000,5000,0,0,0,0,1
2014,Automatic,448000,25000,1,0,0,0,0
2018,Automatic,420000,45000,1,0,0,0,0
2014,Manual,314888,45000,0,0,1,0,0
2016,Automatic,480000,5000,0,1,0,0,0
2021,Automatic,612000,5000,0,0,0,0,1
2021,Automatic,598000,5000,0,0,0,0,1
2018,Manual,490000,15000,1,0,0,0,0
2008,Manual,298000,85000,1,0,0,0,0
2018,Automatic,449000,45000,1,0,0,0,0
2008,Manual,260000,155000,0,1,0,0,0
2018,Manual,405000,45000,1,0,0,0,0
2013,Automatic,328000,65000,0,1,0,0,0
2022,Automatic,649000,5000,0,0,0,0,1
2022,Automatic,114000,15000,0,0,0,0,1
2008,Manual,320000,65000,1,0,0,0,0
2022,Automatic,699000,5000,0,0,0,0,1
2017,Manual,555000,55000,0,1,0,0,0
2017,Automatic,380000,125000,1,0,0,0,0
2012,Manual,270000,125000,1,0,0,0,0
2021,Automatic,678000,15000,1,0,0,0,0
2019,Automatic,559000,25000,1,0,0,0,0
2021,Automatic,660000,5000,0,0,0,0,1
2016,Manual,330000,155000,0,0,1,0,0
2018,Automatic,518000,45000,1,0,0,0,0
2013,Automatic,335000,35000,0,1,0,0,0
2015,Manual,365000,35000,1,0,0,0,0
2021,Automatic,568000,5000,1,0,0,0,0
2018,Manual,488000,25000,0,0,1,0,0
2017,Manual,449000,45000,1,0,0,0,0
2016,Manual,365000,175000,1,0,0,0,0
2017,Manual,440000,75000,1,0,0,0,0
2022,Automatic,658000,5000,0,0,0,0,1
